"Time"	"Function"	"Ncol"	"Nrow"	"Type"
5190116	"loop"	10	10	"matrix"
64532	"apply"	10	10	"matrix"
16502	"loop"	10	10	"matrix"
19375	"colSums"	10	10	"matrix"
44550	"apply"	10	10	"matrix"
37118	"apply"	10	10	"matrix"
9488	"colSums"	10	10	"matrix"
36331	"apply"	10	10	"matrix"
7864	"colSums"	10	10	"matrix"
36402	"apply"	10	10	"matrix"
34822	"apply"	10	10	"matrix"
35536	"apply"	10	10	"matrix"
34128	"apply"	10	10	"matrix"
15851	"loop"	10	10	"matrix"
34978	"apply"	10	10	"matrix"
36782	"apply"	10	10	"matrix"
15038	"loop"	10	10	"matrix"
34859	"apply"	10	10	"matrix"
14807	"loop"	10	10	"matrix"
13639	"loop"	10	10	"matrix"
13709	"loop"	10	10	"matrix"
7748	"colSums"	10	10	"matrix"
35826	"apply"	10	10	"matrix"
14362	"loop"	10	10	"matrix"
14174	"loop"	10	10	"matrix"
7698	"colSums"	10	10	"matrix"
14474	"loop"	10	10	"matrix"
35313	"apply"	10	10	"matrix"
14619	"loop"	10	10	"matrix"
7142	"colSums"	10	10	"matrix"
5941	"colSums"	10	10	"matrix"
14143	"loop"	10	10	"matrix"
35100	"apply"	10	10	"matrix"
14281	"loop"	10	10	"matrix"
7147	"colSums"	10	10	"matrix"
6057	"colSums"	10	10	"matrix"
5793	"colSums"	10	10	"matrix"
35050	"apply"	10	10	"matrix"
7351	"colSums"	10	10	"matrix"
35268	"apply"	10	10	"matrix"
14869	"loop"	10	10	"matrix"
7490	"colSums"	10	10	"matrix"
14371	"loop"	10	10	"matrix"
13948	"loop"	10	10	"matrix"
6185	"colSums"	10	10	"matrix"
14509	"loop"	10	10	"matrix"
35427	"apply"	10	10	"matrix"
7199	"colSums"	10	10	"matrix"
6193	"colSums"	10	10	"matrix"
5933	"colSums"	10	10	"matrix"
14480	"loop"	10	10	"matrix"
35690	"apply"	10	10	"matrix"
15081	"loop"	10	10	"matrix"
34247	"apply"	10	10	"matrix"
7579	"colSums"	10	10	"matrix"
35472	"apply"	10	10	"matrix"
14789	"loop"	10	10	"matrix"
13805	"loop"	10	10	"matrix"
7979	"colSums"	10	10	"matrix"
14167	"loop"	10	10	"matrix"
14006	"loop"	10	10	"matrix"
35528	"apply"	10	10	"matrix"
14424	"loop"	10	10	"matrix"
7475	"colSums"	10	10	"matrix"
14242	"loop"	10	10	"matrix"
34856	"apply"	10	10	"matrix"
34834	"apply"	10	10	"matrix"
7474	"colSums"	10	10	"matrix"
6402	"colSums"	10	10	"matrix"
